wavenumber,intensity
672.0,0.00991318002
674.0,0.00967105944
676.0,0.00835480727
678.0,0.00848392863
680.0,0.011290174
682.0,0.0145068886
684.0,0.0132175004
686.0,0.00893700402
688.0,0.00745898206
690.0,0.00870861672
692.0,0.014743763
694.0,0.0198766217
696.0,0.0200233366
698.0,0.018458318
700.0,0.0154961888
702.0,0.0116308127
704.0,0.00763545651
706.0,0.00522090495
708.0,0.0090316413
710.0,0.0149499979
712.0,0.0164398439
714.0,0.0129525904
716.0,0.00736948848
718.0,0.00999934319
720.0,0.0196086913
722.0,0.0288322475
724.0,0.0317355804
726.0,0.024520129
728.0,0.0140062571
730.0,0.00603705365
732.0,0.00147929182
734.0,0.00162130292
736.0,0.00406015851
738.0,0.0087427292
740.0,0.0157025456
742.0,0.0193539355
744.0,0.020347802
746.0,0.0177637115
748.0,0.0125264581
750.0,0.0102111697
752.0,0.0126534076
754.0,0.0193037316
756.0,0.0233998261
758.0,0.0187861212
760.0,0.0114969723
762.0,0.0078421738
764.0,0.0088541694
766.0,0.0126555748
768.0,0.0146683343
770.0,0.0148647726
772.0,0.0128563344
774.0,0.00816676579
776.0,0.00470829615
778.0,0.00328044314
780.0,0.00388467917
782.0,0.00521405973
784.0,0.00610523857
786.0,0.00791066326
788.0,0.00981073361
790.0,0.00939289946
792.0,0.00751369586
794.0,0.00624014763
796.0,0.00646271138
798.0,0.0107734501
800.0,0.0151483947
802.0,0.0169292465
804.0,0.0185166299
806.0,0.0198188126
808.0,0.0195170213
810.0,0.0161781851
812.0,0.0121449586
814.0,0.0106901107
816.0,0.0100556072
818.0,0.00706871133
820.0,0.00304443249
822.0,0.00369963655
824.0,0.00786452927
826.0,0.0107874274
828.0,0.00798028149
830.0,0.00168565509
832.0,-1.03712091e-06
834.0,0.00671461225
836.0,0.0209140722
838.0,0.0391963795
840.0,0.0588981956
842.0,0.078752026
844.0,0.0998088643
846.0,0.122420877
848.0,0.149814188
850.0,0.184722245
852.0,0.232541502
854.0,0.300748676
856.0,0.391320944
858.0,0.500547886
860.0,0.626395106
862.0,0.782123148
864.0,0.98495996
866.0,1.26813269
868.0,1.66558123
870.0,2.19932246
872.0,2.99388456
874.0,4.04538631
876.0,5.40612984
878.0,7.14356041
880.0,8.84744263
882.0,9.92500114
884.0,10.1334572
886.0,9.46615505
888.0,8.2340374
890.0,6.78709841
892.0,5.24796391
894.0,3.88072515
896.0,2.88199282
898.0,2.15782285
900.0,1.61607432
902.0,1.24870396
904.0,0.975942016
906.0,0.772463679
908.0,0.613868475
910.0,0.487060159
912.0,0.39270857
914.0,0.325219333
916.0,0.273368955
918.0,0.225901037
920.0,0.180148989
922.0,0.138880193
924.0,0.105036713
926.0,0.0765644908
928.0,0.05385831
930.0,0.0390965194
932.0,0.0293445364
934.0,0.0231023971
936.0,0.0206165202
938.0,0.0217153355
940.0,0.0227256007
942.0,0.0164116807
944.0,0.00552089792
946.0,-1.19209346e-07
948.0,-8.94069672e-07
950.0,0.00441625109
952.0,0.0139872674
954.0,0.0223209392
956.0,0.0276810192
958.0,0.0321845934
960.0,0.0331600308
962.0,0.0255457945
964.0,0.0121272858
966.0,0.000875675702
968.0,4.03106205e-05
970.0,0.00491617899
972.0,0.00980321132
974.0,0.0113061965
976.0,0.0134436544
978.0,0.0149281742
980.0,0.015227044
982.0,0.0152984736
984.0,0.0139399879
986.0,0.0101534724
988.0,0.00316378474
990.0,0.000201898831
992.0,0.00232549896
994.0,0.0133837219
996.0,0.0249155816
998.0,0.02754765
1000.0,0.0207138658
1002.0,0.0110481614
1004.0,0.00316282501
1006.0,0.00416281214
1008.0,0.0131698968
1010.0,0.0292929523
1012.0,0.0493134856
1014.0,0.0709225237
1016.0,0.0942212641
1018.0,0.120938048
1020.0,0.155619025
1022.0,0.199028313
1024.0,0.247002363
1026.0,0.297130138
1028.0,0.358263075
1030.0,0.442945421
1032.0,0.558615446
1034.0,0.705123305
1036.0,0.877928138
1038.0,1.08526433
1040.0,1.32613659
1042.0,1.60647583
1044.0,1.92371345
1046.0,2.2361393
1048.0,2.50722194
1050.0,2.71632171
1052.0,2.81128693
1054.0,2.77363801
1056.0,2.60542488
1058.0,2.334548
1060.0,2.04191232
1062.0,1.77003288
1064.0,1.53500628
1066.0,1.3605547
1068.0,1.24482501
1070.0,1.17716372
1072.0,1.15142667
1074.0,1.1450702
1076.0,1.17218542
1078.0,1.23944724
1080.0,1.35216618
1082.0,1.50874639
1084.0,1.69166052
1086.0,1.88767982
1088.0,2.08747363
1090.0,2.30540633
1092.0,2.54123878
1094.0,2.73722005
1096.0,2.8378787
1098.0,2.82973576
1100.0,2.69150162
1102.0,2.45653701
1104.0,2.14762449
1106.0,1.81101656
1108.0,1.52405214
1110.0,1.31499064
1112.0,1.15582013
1114.0,1.03743267
1116.0,0.938661933
1118.0,0.857476115
1120.0,0.799396038
1122.0,0.753716767
1124.0,0.700537801
1126.0,0.628959477
1128.0,0.541644037
1130.0,0.452383578
1132.0,0.370392501
1134.0,0.29695031
1136.0,0.233672649
1138.0,0.183140188
1140.0,0.143603474
1142.0,0.111987226
1144.0,0.0846687555
1146.0,0.0623671412
