wavenumber,intensity,is_peak_UI_default,is_peak_prominence_5pct_range,is_peak_relaxed_5pct
1320.0,0.0671837553,0,0,0
1322.0,0.0569218621,0,0,0
1324.0,0.0451085828,0,0,0
1326.0,0.0368527882,0,0,0
1328.0,0.0332988724,0,0,0
1330.0,0.0300028808,0,0,0
1332.0,0.0266217459,0,0,0
1334.0,0.0277674906,0,0,0
1336.0,0.0299747959,0,0,0
1338.0,0.0266268272,0,0,0
1340.0,0.0179364923,0,0,0
1342.0,0.00942752417,0,0,0
1344.0,0.00288369646,0,0,0
1346.0,0.00451278687,0,0,0
1348.0,0.0072704074,0,0,0
1350.0,0.0143820047,0,0,0
1352.0,0.0238637701,0,0,0
1354.0,0.0283441525,0,0,0
1356.0,0.0234537609,0,0,0
1358.0,0.0126770018,0,0,0
1360.0,0.00293271546,0,0,0
1362.0,0.00121524336,0,0,0
1364.0,0.00533809653,0,0,0
1366.0,0.0111819981,0,0,0
1368.0,0.0169132464,0,0,0
1370.0,0.0243352652,0,0,0
1372.0,0.0376623161,0,0,0
1374.0,0.0558331236,0,0,0
1376.0,0.0735665113,0,0,0
1378.0,0.0857656971,0,0,0
1380.0,0.0967742652,0,0,0
1382.0,0.110132277,0,0,0
1384.0,0.124823615,0,0,0
1386.0,0.133114383,0,0,0
1388.0,0.13319388,0,0,0
1390.0,0.127696097,0,0,0
1392.0,0.124448627,0,0,0
1394.0,0.12972267,0,0,0
1396.0,0.14257355,0,0,0
1398.0,0.160623446,0,0,0
1400.0,0.177097619,0,0,0
1402.0,0.194618866,0,0,0
1404.0,0.219850019,0,0,0
1406.0,0.256055266,0,0,0
1408.0,0.297397643,0,0,0
1410.0,0.339278907,0,0,0
1412.0,0.379576445,0,0,0
1414.0,0.422925144,0,0,0
1416.0,0.468218863,0,0,0
1418.0,0.514457464,0,0,0
1420.0,0.566327512,0,0,0
1422.0,0.626180172,0,0,0
1424.0,0.694135666,0,0,0
1426.0,0.764941156,0,0,0
1428.0,0.836943507,0,0,0
1430.0,0.915956259,0,0,0
1432.0,1.01397038,0,0,0
1434.0,1.13081527,0,0,0
1436.0,1.27715027,0,0,0
1438.0,1.46545684,0,0,0
1440.0,1.70214081,0,0,0
1442.0,1.97225213,0,0,0
1444.0,2.26494312,0,0,0
1446.0,2.57709837,0,0,0
1448.0,2.89307594,0,0,0
1450.0,3.19132113,0,0,0
1452.0,3.42007518,0,0,0
1454.0,3.53287554,0,0,0
1456.0,3.54022884,1,1,1
1458.0,3.41737413,0,0,0
1460.0,3.16717076,0,0,0
1462.0,2.82681465,0,0,0
1464.0,2.44972706,0,0,0
1466.0,2.10688901,0,0,0
1468.0,1.8410821,0,0,0
1470.0,1.6331104,0,0,0
1472.0,1.48401463,0,0,0
1474.0,1.37703848,0,0,0
1476.0,1.30708945,0,0,0
1478.0,1.26073039,0,0,0
1480.0,1.23422861,0,0,0
1482.0,1.21244824,0,0,0
1484.0,1.16659796,0,0,0
1486.0,1.08569026,0,0,0
1488.0,0.980488598,0,0,0
1490.0,0.870484114,0,0,0
1492.0,0.761819363,0,0,0
1494.0,0.651987076,0,0,0
1496.0,0.543086529,0,0,0
1498.0,0.450791359,0,0,0
1500.0,0.379592776,0,0,0
1502.0,0.321976781,0,0,0
1504.0,0.269586653,0,0,0
1506.0,0.227347106,0,0,0
1508.0,0.190957636,0,0,0
1510.0,0.157546327,0,0,0
1512.0,0.126773626,0,0,0
1514.0,0.0990533158,0,0,0
1516.0,0.0763444155,0,0,0
1518.0,0.0607947819,0,0,0
1520.0,0.0488227606,0,0,0
1522.0,0.0437723882,0,0,0
1524.0,0.0431343764,0,0,0
1526.0,0.0411678106,0,0,0
1528.0,0.0371397249,0,0,0
1530.0,0.0276504047,0,0,0
1532.0,0.0158820152,0,0,0
1534.0,0.0106954584,0,0,0
1536.0,0.0145537127,0,0,0
1538.0,0.020176433,0,0,0
1540.0,0.0218875408,0,0,0
1542.0,0.0156211853,0,0,0
1544.0,0.0120150093,0,0,0
1546.0,0.0144906407,0,0,0
1548.0,0.0188714266,0,0,0
1550.0,0.0165266991,0,0,0
1552.0,0.00913100224,0,0,0
1554.0,0.00340557098,0,0,0
1556.0,0.002329421,0,0,0
1558.0,0.00644851942,0,0,0
1560.0,0.0160826575,0,0,0
1562.0,0.0218587033,0,0,0
1564.0,0.0217553023,0,0,0
1566.0,0.0174876209,0,0,0
1568.0,0.0136995437,0,0,0
1570.0,0.0133194569,0,0,0
1572.0,0.0191182252,0,0,0
1574.0,0.025329886,0,0,0
1576.0,0.0276112203,0,0,0
1578.0,0.0240443945,0,0,0
1580.0,0.0208937414,0,0,0
1582.0,0.0183560848,0,0,0
1584.0,0.0145048862,0,0,0
1586.0,0.00849987287,0,0,0
1588.0,0.00302377949,0,0,0
1590.0,0.000958514225,0,0,0
1592.0,0.00675220462,0,0,0
1594.0,0.0110258944,0,0,0
1596.0,0.018237412,0,0,0
1598.0,0.0251362696,0,0,0
1600.0,0.0251451246,0,0,0
1602.0,0.0219227914,0,0,0
1604.0,0.0191989429,0,0,0
1606.0,0.0199360251,0,0,0
1608.0,0.0247866139,0,0,0
1610.0,0.0286929123,0,0,0
1612.0,0.0349467397,0,0,0
1614.0,0.0437602848,0,0,0
1616.0,0.0472223908,0,0,0
1618.0,0.0396210775,0,0,0
1620.0,0.0238481872,0,0,0
1622.0,0.0104507804,0,0,0
1624.0,0.00871012267,0,0,0
1626.0,0.0168395992,0,0,0
1628.0,0.0262162816,0,0,0
1630.0,0.0269500855,0,0,0
1632.0,0.01942675,0,0,0
1634.0,0.0115647791,0,0,0
1636.0,0.00798623543,0,0,0
1638.0,0.0070516346,0,0,0
1640.0,0.00703518372,0,0,0
1642.0,0.00841008406,0,0,0
1644.0,0.0121488813,0,0,0
1646.0,0.0167498011,0,0,0
1648.0,0.0162624717,0,0,0
1650.0,0.0103615168,0,0,0
1652.0,0.00445556641,0,0,0
1654.0,0.00247138715,0,0,0
1656.0,0.00384483347,0,0,0
1658.0,0.00507982913,0,0,0
1660.0,0.00629999675,0,0,0
1662.0,0.00978882331,0,0,0
1664.0,0.016874684,0,0,0
1666.0,0.0233333949,0,0,0
1668.0,0.026525842,0,0,0
1670.0,0.0262646787,0,0,0
1672.0,0.0236224905,0,0,0
1674.0,0.0168848876,0,0,0
1676.0,0.0069072484,0,0,0
1678.0,0.000503385032,0,0,0
1680.0,0.0030308126,0,0,0
1682.0,0.0101348646,0,0,0
1684.0,0.0145991556,0,0,0
1686.0,0.0120087983,0,0,0
1688.0,0.00891759433,0,0,0
1690.0,0.0104916804,0,0,0
1692.0,0.0119092586,0,0,0
1694.0,0.00926336087,0,0,0
1696.0,0.00872348528,0,0,0
1698.0,0.0165725108,0,0,0
1700.0,0.0284888037,0,0,0
1702.0,0.0340677612,0,0,0
1704.0,0.0356025919,0,0,0
1706.0,0.0341675393,0,0,0
1708.0,0.0301354639,0,0,0
1710.0,0.0255224817,0,0,0
1712.0,0.0205441248,0,0,0
1714.0,0.0148439463,0,0,0
1716.0,0.00948911346,0,0,0
1718.0,0.00782232266,0,0,0
1720.0,0.0120270671,0,0,0
1722.0,0.0193997808,0,0,0
1724.0,0.0214055851,0,0,0
1726.0,0.015612578,0,0,0
1728.0,0.00961618405,0,0,0
1730.0,0.0076970933,0,0,0
1732.0,0.00854054745,0,0,0
1734.0,0.0101940641,0,0,0
